"Rank","Desc"
"241","Tarzan (Fictitious character)"
"241","Fantasy fiction,Wild men"
"241","British"
"241","Adventure stories"
"242","Lynching"
"243","Russia"
"243","Social life and customs"
"243","Drama,Country life"
"243","Drama,Russian drama"
"243","Translations into English,Families"
"243","Drama"
"244","Philippines"
"244","History"
"244","1812-1898"
"244","Historical fiction"
"245","Giants"
"245","Fiction"
"245","Fantasy fiction, French"
"245","Translations into English"
"245","Gargantua (Legendary character)"
"246","Spirituality,God (Christianity)"
"246","Worship and love"
"247","Constitutional law"
"247","United States,Constitutional history"
"247","United States"
"247","Sources"
"248","Fiction"
"248","Authorship"
"248","Infants"
"248","Fetus"
"248","Experimental fiction,Stream of consciousness fiction"
"249","Erotic literature"
"249","Heidegger, John James, 1659?-1748"
"249","Penis"
"249","Poetry"
"250","Rome"
"250","History"
"250","Empire, 30 B.C.-284 A.D."
"250","Emperors"
"250","Biography"
"250","Early works to 1800"
"251","West (U.S.)"
"251","Description and travel"
"251","Intellectual life"
"251","19th century"
"251","Authors, American"
"251","Homes and haunts"
"251","Twain, Mark, 1835-1910"
"251","Travel"
"252","Science fiction,War stories,Robots"
"252","Fiction"
"254","Tales"
"254","Arab countries,Fairy tales"
"255","Philosophy and religion,Happiness"
"256","Heraldry"
"256","Great Britain"
"257","Children's poetry, German"
"257","Practical jokes"
"257","Juvenile poetry"
"257","Wit and humor"
"258","Aesthetics"
"258","Early works to 1800,Poetry"
"258","Early works to 1800"
"259","Norwegian drama"
"259","Translations into English"
"260","Children"
"260","Conduct of life"
"260","Juvenile fiction"
"260","Children's stories, German"
"260","Translations into English"
"260","Children's poetry, German"
"260","Stories in rhyme"
"260","Picture books for children"
"260","Behavior"
"260","Fiction"
"261","Human-alien encounters"
"261","Science fiction"
"262","India"
"262","History"
"262","British occupation, 1765-1947"
"262","Fiction"
"262","British"
"263","Mentally ill"
"263","Science fiction,Scientists"
"263","Psychological fiction"
"264","Utilitarianism"
"265","Portuguese language"
"265","Dictionaries"
"266","Short stories, English"
"266","Humorous stories"
"266","Supernatural"
"266","Fiction"
"268","Science fiction"
"268","Earth (Planet)"
"268","Core"
"268","Fiction"
"268","Voyages, Imaginary"
"268","Adventure stories"
"269","Classification, Dewey decimal"
"270","Sociology,Leisure class"
"271","Great Britain"
"271","History"
"271","Richard I, 1189-1199"
"271","Fiction"
"271","Knights and knighthood"
"271","Normans"
"271","Triangles (Interpersonal relations)"
"271","Ivanhoe, Wilfred of, Sir (Fictitious character)"
"271","Jews"
"271","England"
"271","Anglo-Saxons"
"271","Historical fiction"
"271","Love stories"
"272","France"
"272","History"
"272","Louis XI, 1461-1483"
"272","Fiction"
"272","Paris (France)"
"272","To 1515"
"272","Historical fiction"
"272","People with disabilities"
"272","Clergy"
"272","Romances"
"272","Notre-Dame de Paris (Cathedral)"
"273","Rizal, Jos<e9>, 1861-1896"
"274","Private investigators"
"274","England"
"274","Fiction"
"274","Detective and mystery stories"
"274","Holmes, Sherlock (Fictitious character)"
"275","Science fiction,Animal experimentation"
"275","Islands"
"275","Shipwreck survival"
"275","Fiction"
"276","Fantasy"
"278","United States"
"278","History"
"278","French and Indian War, 1754-1763"
"278","Fiction"
"278","War stories"
"278","Adventure stories"
"278","Frontier and pioneer life"
"278","Mohegan Indians"
"278","Historical fiction"
"278","Bumppo, Natty (Fictitious character)"
"279","Fairy tales,Puppets"
"279","Juvenile fiction,Pinocchio (Fictitious character)"
"279","Juvenile fiction"
"280","English essays"
"280","18th century"
"280","Periodicals"
"281","Jungles"
"281","Fiction"
"281","Jungle animals"
"281","Feral children"
"281","Mowgli (Fictitious character)"
"281","Adventure stories, English"
"281","Animals"
"281","Short stories"
"281","India"
"283","Pottery"
"283","Marks"
"284","Fables, Greek"
"284","Translations into English"
"285","Essays"
"286","Needlework"
"287","Christian pilgrims and pilgrimages"
"287","Poetry"
"288","Wolfdogs"
"288","Fiction"
"288","Adventure stories"
"288","Canada, Northern"
"289","New England"
"289","Social life and customs"
"289","Short stories"
"290","Fathers and daughters"
"290","Psychological fiction,Wessex (England)"
"290","Runaway husbands"
"290","Atonement"
"290","Men"
"290","England"
"290","Mayors"
"290","Fiction"
"291","Shakespeare, William, 1564-1616"
"291","Tragedies"
"292","Poetry,Prose poems"
"293","Friendship"
"293","Married women"
"293","Women pioneers"
"293","Farmers' spouses"
"293","Farm life"
"293","Western stories,Women immigrants"
"293","Czech Americans"
"293","Frontier and pioneer life"
"293","Nebraska"
"293","Nebraska"
"293","Domestic fiction"
"294","Tagalog poetry"
"295","Philosophy, Ancient"
"295","Classical literature"
"295","Socrates, 470 BC-399 BC"
"296","New York (N.Y.)"
"296","Fiction"
"296","Copyists"
"296","Psychological fiction"
"296","Young men"
"296","Wall Street (New York, N.Y.)"
"297","Pastoral fiction,Wessex (England)"
"297","Women farmers"
"297","Triangles (Interpersonal relations)"
"297","Farm life"
"297","Didactic fiction,Love stories"
"298","Rome"
"298","History"
"298","Empire, 30 B.C.-476 A.D."
"298","Byzantine Empire"
"298","To 527"
"299","Chekhov, Anton Pavlovich, 1860-1904"
"299","Translations into English"
"299","Russia"
"299","Social life and customs"
"299","Fiction"
"300","Folklore"
"300","Philippines,Tales"
"300","Philippines"
"301","Jews"
"301","Antiquities"
"302","Bombings"
"302","Political fiction,Conspiracies"
"302","Anarchists"
"302","London (England)"
"302","Fiction"
"303","Fantasy poetry, American"
"304","Classical literature"
"304","Trojan War"
"304","Achilles (Mythological character)"
"304","Epic poetry, Greek"
"304","Translations into English"
"305","Short stories"
"305","United States"
"305","Social life and customs"
"305","19th century"
"305","Fiction"
"305","Humorous stories, American"
"307","Erotic stories"
"308","Criticism"
"308","Aesthetics"
"308","Poetry"
"308","Wordsworth, William, 1770-1850. Lyrical ballads"
"309","Women slaves"
"309","United States"
"309","Biography"
"309","Slaves"
"309","Social conditions"
"309","Jacobs, Harriet A. (Harriet Ann), 1813-1897"
"310","Authorship,Journalism"
"311","England"
"311","Humorous stories,Men"
"311","Societies and clubs"
"311","Male friendship"
"311","Fiction"
"312","New York (N.Y.)"
"312","Single women"
"312","Social classes"
"312","Psychological fiction"
"313","Orphans"
"313","Boarding schools"
"313","Schools"
"313","London (England)"
"313","Fiction"
"316","Women"
"316","England"
"316","Male friendship"
"316","Psychological fiction,Sisters"
"316","Midlands (England)"
"316","Coal mines and mining"
"316","Love stories"
"317","Springs"
"317","Drama,Pollution"
"317","Drama,Social conflict"
"317","Drama,Physicians"
"317","Drama,Norwegian drama"
"317","Translations into English"
"318","Palmistry"
"319","Holy Spirit"
"320","Short stories, Russian"
"320","Translations into English"
"321","German poetry"
"321","Magicians"
"321","Drama"
"321","Legends"
"321","Germany"
"321","Faust, -approximately 1540"
"322","Hannay, Richard (Fictitious character)"
"322","Fiction"
"322","Intelligence service"
"322","Great Britain"
"322","World War, 1914-1918"
"322","Spy stories"
"323","English language"
"323","Dictionaries"
"324","Fourth dimension"
"325","American essays"
"326","Picaresque literature,Spain"
"326","Social life and customs"
"326","16th century"
"326","Knights and knighthood"
"326","Spain"
"326","Romances"
"327","Humorous stories"
"327","Valets"
"327","Fiction"
"327","Jeeves (Fictitious character)"
"327","Wooster, Bertie (Fictitious character)"
"327","England"
"327","Single men"
"329","Short stories, American"
"330","Fathers and daughters"
"330","Foundlings"
"330","Adopted children"
"330","England"
"330","Domestic fiction,Weavers"
"330","Fiction"
"331","Vampires"
"331","Horror tales,Gothic fiction (Literary genre)"
"332","Relativity (Physics)"
"333","Bible"
"333","Illustrations"
"334","Readers"
"335","Brown, Father (Fictitious character)"
"335","Fiction"
"335","Clergy"
"335","Detective and mystery stories, English"
"335","Catholics"
"335","England"
"337","Irish"
"337","India"
"337","Orphans"
"337","Lamas"
"337","Spy stories,Adventure stories,India"
"337","Boys"
"337","Fiction"
"338","Tales"
"338","Ireland,Fairy tales"
"338","Ireland,Folklore"
"338","Ireland"
"339","African American abolitionists"
"339","Biography"
"339","Abolitionists"
"339","United States"
"339","Slaves"
"339","Maryland"
"339","Social conditions"
"339","19th century"
"339","Douglass, Frederick, 1818-1895"
"339","Antislavery movements"
"339","History"
"339","Fugitive slaves"
"339","Plantation life"
"340","Oceania"
"340","Discovery and exploration"
"340","Early works to 1800,Voyages around the world"
"340","Early works to 1800"
"341","Great Britain"
"341","History"
"341","19th century"
"341","Juvenile fiction,Horses"
"341","Juvenile fiction,Historical fiction"
"342","Grief"
"342","Wilde, Oscar, 1854-1900"
"342","Suffering"
"342","Imprisonment"
"343","Natural law,Equality,Political science"
"344","Middle class"
"344","France"
"344","Drama,French drama,Comedies,France"
"344","Social life and customs"
"344","17th century"
"344","Drama"
"345","London (England)"
"345","Drama,English drama (Comedy),City and town life"
"345","Drama,Alchemists"
"345","Drama,English drama"
"345","17th century"
"346","Hugo, Victor, 1802-1885"
"346","Translations into English"
"346","French poetry"
"347","English poetry"
"347","18th century"
"348","Aesop's fables"
"348","Translations into English"
"348","Fables, Greek"
"349","United States"
"349","Social conditions,Democracy"
"349","United States,United States"
"349","Politics and government"
"350","Deafblind women"
"350","United States"
"350","Biography"
"350","Keller, Helen, 1880-1968"
"351","Comedies"
"352","Historical fiction"
"352","France"
"352","History"
"352","Revolution, 1789-1799"
"352","Fiction"
"352","Nobility"
"352","Adventure stories"
"352","Blakeney, Percy, Sir (Fictitious character)"
"352","British"
"353","Prose poems,French poetry"
"353","Translations into English"
"354","Poetry"
"355","Frontier and pioneer life"
"355","United States,Frontier thesis,United States"
"355","History,United States"
"355","Territorial expansion"
"356","Ship captains"
"356","Fiction"
"356","Whaling ships"
"356","Psychological fiction"
"356","Whaling"
"356","Whales"
"356","Mentally ill"
"356","Sea stories"
"356","Adventure stories"
"356","Ahab, Captain (Fictitious character)"
"357","Germany"
"357","Domestic fiction,Families"
"357","Fiction"
"358","Older women"
"358","Short stories,Space flight"
"358","Swindlers and swindling"
"358","Science fiction"
"359","Married women"
"359","Fiction"
"359","Social classes"
"359","Satire"
"359","Waterloo, Battle of, Waterloo, Belgium, 1815"
"359","England"
"359","Female friendship"
"359","British"
"359","Europe"
"361","Yogananda, Paramahansa, 1893-1952"
"361","Yogis"
"361","India"
"361","Biography"
"363","Psychoanalysis,Dreams"
"365","Shakespeare, William, 1564-1616"
"365","Stories, plots, etc."
"365","Juvenile literature"
"365","Children's literature"
"366","Fantasy fiction"
"366","American fiction"
"366","19th century"
"366","Horror tales, American"
"367","Psychological fiction,Europe"
"367","Young women"
"367","Americans"
"367","Europe"
"367","Fiction"
"368","Fantasy,Peter Pan (Fictitious character)"
"368","Never-Never Land (Imaginary place)"
"368","Fairies"
"368","Juvenile fiction,Pirates"
"368","Juvenile fiction"
"369","Grant, Ulysses S. (Ulysses Simpson), 1822-1885"
"369","Presidents"
"369","United States"
"369","Biography"
"369","Generals"
"369","United States. Army"
"369","History"
"369","Civil War, 1861-1865"
"369","Campaigns"
"369","Mexican War, 1846-1848"
"369","Personal narratives"
"371","Blacks in the Bible"
"371","Theological anthropology"
"371","Civilization, Ancient"
"374","World War, 1914-1918"
"376","De Quincey, Thomas, 1785-1859"
"376","Drug addicts"
"376","Great Britain"
"376","Biography"
"376","Authors, English"
"376","19th century"
"376","Opium abuse"
"376","England"
"377","Philosophy, German"
"377","Christianity"
"377","Controversial literature"
"378","World history"
"379","Musical fiction,Paris (France)"
"379","Opera"
"379","Phantom of the Opera (Fictitious character)"
"379","French fiction"
"379","Translations into English,Composers"
"379","Horror tales"
"380","Sex"
"381","Religion"
"381","Conversion"
"381","Experience (Religion)"
"381","Philosophy and religion"
"381","Psychology, Religious"
"382","Africa"
"382","Women"
"382","Fantasy fiction,Immortalism"
"382","Adventure stories,Reincarnation"
"382","Ayesha (Fictitious character : Haggard)"
"382","Love stories"
"383","English language"
"383","Slang"
"383","Dictionaries"
"384","American poetry"
"385","Poetry"
"386","Heroes,Hero worship"
"387","Rizal, Jos<e9>, 1861-1896"
"387","Correspondence"
"389","Jews"
"389","History"
"390","Evolution (Biology),Natural selection"
"391","Political refugees"
"391","Drama,Shipwreck victims"
"391","Drama,Islands"
"391","Drama,Tragicomedy,Spirits"
"391","Drama,Fathers and daughters"
"391","Drama,Magicians"
"391","Drama"
"393","Philosophy, Ancient"
"393","Poetry"
"393","Didactic poetry, Latin"
"393","Translations into English"
"394","Science"
"395","Sisters"
"395","Courtship"
"395","Social classes"
"395","England"
"395","Domestic fiction,Young women"
"395","Love stories"
"396","Medea, consort of Aegeus, King of Athens (Mythological character)"
"396","Drama"
"397","Venice (Italy)"
"397","Drama"
"397","Satire, English"
"397","Extortion"
"397","Inheritance and succession"
"397","English drama"
"397","17th century"
"397","English drama (Comedy)"
"398","Midhat Pasa, 1822-1884"
"398","Statesmen"
"398","Turkey"
"398","Biography"
"399","Venice (Italy)"
"399","Drama,Othello (Fictitious character)"
"399","Drama,Tragedies,Muslims"
"399","Drama,Interracial marriage"
"399","Drama,Jealousy"
"399","Drama"
"403","Gogol, Nikolai Vasilevich, 1809-1852"
"403","Translations into English"
"403","Russia"
"403","Social life and customs"
"403","Fiction"
"403","Short stories, Russian"
"404","Classical literature,Political science"
"404","Early works to 1800,Ethics"
"404","Early works to 1800"
"405","Ireland"
"405","Drama"
"407","Classical literature,Immortality (Philosophy)"
"407","Early works to 1800"
"408","Authors"
"408","Munich (Germany)"
"408","Venice (Italy)"
"408","Fiction"
"409","Social classes"
"409","Poor families"
"409","Satire,Deception"
"409","London (England)"
"409","Inheritance and succession"
"409","Love stories"
"411","Boy Scouts of America"
"411","Handbooks, manuals, etc."
"411","Boy Scouts"
"411","United States"
"412","Ethics"
"413","Paranormal fiction,Horror tales"
"414","Rationalism,Philosophy and religion,Political science"
"415","Great Britain"
"415","Politics and government"
"415","1760-1820,Political science"
"415","Early works to 1800"
"416","Pragmatism"
"418","Allegories,Detective and mystery stories,Anarchists"
"418","Police"
"418","London (England)"
"418","Fantasy fiction"
"419","English drama,Man-woman relationships"
"419","Drama"
"420","History, Ancient"
"420","Greece"
"420","History"
"420","To 146 B.C."
"421","Bulgaria"
"421","Drama"
"421","Soldiers"
"421","Italians"
"421","Serbo-Bulgarian War, 1885"
"421","War"
"421","Love"
"421","Man-woman relationships"
"422","Justice"
"422","Early works to 1800,Utopias"
"422","Early works to 1800,Political science"
"422","Early works to 1800"
"423","Russian drama"
"423","Translations into English"
"423","Chekhov, Anton Pavlovich, 1860-1904"
"424","Brothers and sisters"
"424","Drama,Retribution"
"424","Drama,Tragedies,English drama"
"424","17th century"
"429","Science fiction,Humorous stories,Short stories"
"430","Africa"
"430","Fiction"
"430","Missing persons"
"430","Hunting guides"
"430","Treasure troves"
"430","Adventure stories"
"430","Quatermain, Allan (Fictitious character)"
"430","Diamond mines and mining"
"431","Fantasy,Short stories"
"432","Russia"
"432","Peasants"
"432","Fiction"
"433","Children"
"433","Conduct of life"
"433","Juvenile fiction"
"433","Children's poetry, German"
"433","Stories in rhyme"
"433","Children's stories, German"
"433","Picture books for children"
"433","Behavior"
"433","Fiction"
"434","Fables,Aesop's fables"
"434","Adaptations,Folklore"
"435","Terrorists"
"435","Russia"
"435","Russia"
"435","Nihilism"
"435","Social life and customs"
"435","1533-1917"
"435","Fiction"
"436","Fairy tales"
"437","People with disabilities"
"437","Gardens"
"437","Orphans"
"437","Yorkshire (England)"
"437","Fiction"
"439","Lewis and Clark Expedition (1804-1806)"
"439","Columbia River"
"439","Description and travel"
"439","Clark, William, 1770-1838"
"439","Missouri River"
"439","West (U.S.)"
"439","History"
"439","To 1848"
"439","Lewis, Meriwether, 1774-1809"
"440","Ethics,Conduct of life"
"441","Revolutions"
"441","Oligarchy"
"441","Science fiction,Socialism"
"441","Political fiction,Revolutionaries"
"441","Dystopias"
"441","Fiction"
"442","Plague"
"442","Fiction"
"442","London (England)"
"442","History"
"442","17th century"
"442","Historical fiction"
"442","Great Fire, London, England, 1666"
"443","England"
"443","Church history"
"443","449-1066"
"444","New Thought"
"446","Japan"
"446","Social life and customs"
"446","Bushido"
"446","Ethics"
"446","Samurai"
"446","History"
"446","Civilization"
"446","Philosophy, Japanese"
"447","Short stories"
"448","Fairy tales,Folklore"
"450","Nationalism"
"451","Universities and colleges"
"451","Fiction"
"451","Self-perception"
"451","Canada"
"451","History"
"451","1914-1945"
"451","Orphans"
"451","Prince Edward Island"
"451","20th century"
"451","Nova Scotia"
"451","Interpersonal relations"
"451","Shirley, Anne (Fictitious character)"
"452","Autobiographical fiction,British"
"452","Belgium"
"452","Brussels (Belgium)"
"452","Women teachers"
"452","Love stories"
"453","English poetry"
"453","18th century,English poetry"
"453","19th century"
"454","Islands of the Pacific"
"454","Science fiction,Castaways"
"454","Adventure stories"
"455","England"
"455","Ghosts"
"455","Fiction"
"458","France"
"458","History"
"458","Louis XIV, 1643-1715"
"458","Fiction"
"458","Adventure and adventurers"
"458","Swordsmen"
"458","Historical fiction"
"458","Man in the Iron Mask"
"458","Romances"
"459","Songs, Scots"
"459","Scotland"
"459","Texts"
"459","Poetry"
"461","Optics"
"461","Early works to 1800"
"462","Political corruption"
"462","Political fiction,Satire,Legislators"
"462","Speculation"
"462","Washington (D.C.)"
"462","Businessmen"
"462","Fiction"
"463","Investments"
"463","Psychological aspects,Common fallacies,Impostors and imposture,Hallucinations and illusions,Occultism"
"463","Early works to 1900,Stock exchanges"
"463","Psychological aspects,Alchemy,Delusions,Swindlers and swindling,Social psychology"
"464","Paranormal fiction,Domestic fiction,Haunted houses"
"464","Historical fiction,Salem (Mass.)"
"464","Fiction"
"465","Sabotage"
"466","Women iron and steel workers"
"466","Feminism"
"466","Fiction"
"468","Canada"
"468","History"
"468","1914-1945"
"468","Fiction"
"468","Orphans"
"468","Prince Edward Island"
"468","20th century"
"468","Shirley, Anne (Fictitious character)"
"468","Teachers"
"468","Islands"
"469","Folklore"
"469","Japan,Fairy tales"
"470","Monks"
"470","Gothic fiction (Literary genre),Madrid (Spain)"
"470","Horror tales"
"471","Fairy tales"
"471","India,Folklore"
"471","India,Fairy tales"
"472","Venezuela"
"472","History"
"472","1556-1810,Venezuela"
"472","To 1556"
"475","Philosophy, German"
"475","Superman (Philosophical concept)"
"477","Lynching"
"477","United States,Lynching"
"477","United States"
"477","Statistics,African Americans"
"477","History"
"477","1877-1964"
"478","Religion"
"478","Philosophy,Religion,Cults,Totemism,Rites and ceremonies"
"479","Fantasy fiction"
"479","American fiction"
"479","19th century"
"479","Horror tales, American"
"479","American poetry"
"480","Eve (Biblical figure)"
"480","Poetry,Bible. Genesis"
"480","History of Biblical events"
"480","Poetry,Fall of man"
"480","Poetry,Adam (Biblical figure)"
"480","Poetry"
"481","Sublime, The"
"481","Rhetoric, Ancient"
"483","Christian fiction,Jesus Christ"
"483","Fiction"
"484","Woodwork,Carpentry"
"490","Businesspeople"
"490","United States"
"490","Biography"
"490","Automobiles"
"490","History"
"490","Ford Motor Company"
"490","Industrialists"
"490","Automobile industry and trade"
"490","Ford, Henry, 1863-1947"
"491","Buddhist philosophy"
"491","Religious fiction,Buddhism"
"491","India"
"491","Gautama Buddha"
"491","Fiction"
"492","Fathers and daughters"
"492","Fiction"
"492","Americans"
"492","Italy"
"492","Married women"
"492","Triangles (Interpersonal relations)"
"492","Psychological fiction"
"492","Inheritance and succession"
"492","Archer, Isabel (Fictitious character)"
"492","Love stories"
"493","Science fiction,Second Advent"
"493","Fiction"
"494","Philosophy, American"
"494","Nature"
"495","Philosophy, German"
"495","Ethics"
"496","Horror tales, American"
"496","Haunted houses"
"496","Fiction"
"497","Washington, Booker T., 1856-1915"
"497","African Americans"
"497","Biography"
"497","Tuskegee Institute"
"497","Educators"
"497","United States"
"498","Europe"
"498","History"
"498","18th century"
"498","Biography"
"498","Casanova, Giacomo, 1725-1798"
"499","Walking"
"499","Humorous stories,Europe"
"499","Americans"
"499","Europe"
"499","Fiction"
"500","Latin letters"
"500","Translations into English"
"500","Lawyers"
"500","Rome"
"500","Correspondence"
"500","Pliny, the Younger"
"500","Authors, Latin"
"501","Latin language"
"501","Readers"
"502","German poetry"
"502","Translations into English"
"504","Humorous stories,Foundlings"
"504","Bildungsromans,Identity (Psychology)"
"504","England"
"504","Young men"
"504","Fiction"
"505","Microscopy"
"505","Early works to 1800,Magnifying glasses"
"505","Early works to 1800,Natural history"
"505","Pre-Linnean works"
"507","Fathers and daughters"
"507","Fiction"
"507","London (England)"
"507","Children of prisoners"
"507","Debt, Imprisonment for"
"507","Inheritance and succession"
"507","Domestic fiction"
"507","Love stories"
"507","Marshalsea Prison (Southwark, London, England)"
"508","England"
"508","Brothers and sisters"
"508","Country life"
"508","Family life"
"508","Railroads"
"508","Fiction"
"509","Conduct of life"
"509","Egoism"
"509","Man-woman relationships"
"509","Fate and fatalism"
"509","Fiction"
"510","Statesmen"
"510","United States"
"510","Biography"
"510","Franklin, Benjamin, 1706-1790"
"511","Political science"
"511","Early works to 1800"
"512","India"
"512","Juvenile fiction,Pride and vanity"
"512","Juvenile fiction,Tiger"
"512","Juvenile fiction,Boys"
"512","Juvenile fiction,Children's stories"
"513","Classical literature"
"513","Mythology, Classical"
"513","Poetry"
"513","Latin poetry"
"513","Translations into English"
"513","Metamorphosis"
"513","Mythology"
"513","Fables, Latin"
"514","Maxims"
"515","United States"
"515","Social life and customs"
"515","19th century"
"515","Fiction"
"515","Humorous stories, American"
"516","Great Britain"
"516","History"
"516","Anglo-Saxon period, 449-1066"
"516","Sources"
"516","Anglo-Saxons"
"516","Early works to 1800"
"517","Puzzles,Mathematical recreations"
"518","Voyages and travels"
"518","Polo, Marco, 1254-1323?"
"518","Mongols"
"518","History"
"518","Asia"
"518","Description and travel"
"518","Early works to 1800"
"519","Women"
"519","Black humor,Utopian fiction,Utopias"
"519","Fiction"
"520","Etiquette"
"521","United States"
"521","Race relations,African Americans"
"522","English poetry,American poetry"
"523","Highlands (Scotland)"
"523","History,Land tenure"
"523","Scotland Highlands"
"526","Rama (Hindu deity)"
"526","Poetry"
"526","Epic poetry, Sanskrit"
"526","Translations into English"
"526","Folklore"
"526","India"
"527","Human beings"
"529","Paris (France)"
"529","Fiction"
"529","Older men"
"529","French fiction"
"529","Translations into English"
"529","France"
"529","History"
"529","Louis XVIII, 1814-1824"
"529","Fathers and daughters"
"530","Arthur, King"
"530","Legends"
"530","Arthurian romances"
"531","Knowledge, Theory of"
"531","Consciousness"
"531","Psychology"
"532","Erotic stories"
"535","Folklore"
"535","India"
"535","Occultism"
"535","India, South"
"535","Omens"
"535","Dravidians"
"535","Superstition"
"536","Mothers and daughters"
"536","Drama,Aristocracy (Social class)"
"536","Drama,Marriage"
"536","Drama"
"537","Sonnets, English"
"537","English poetry"
"539","Prose poems"
"540","Fugitive slaves"
"540","United States"
"540","Biography,Fugitive slaves"
"540","History"
"540","19th century,Underground Railroad,Antislavery movements"
"540","19th century,Abolitionists"
"540","Biography"
"541","England"
"541","Social life and customs"
"541","19th century"
"541","Theatrical companies"
"541","Poor families"
"541","Bildungsromans,Picaresque literature,England"
"541","Boarding schools"
"541","Young men"
"541","Fiction"
"542","Unmarried couples"
"542","Wessex (England)"
"542","Illegitimate children"
"542","Love stories,Children"
"542","Death"
"542","Didactic fiction,Stonemasons"
"542","Adultery"
"542","Fiction"
"543","Universities and colleges"
"543","Schools"
"543","Philanthropists"
"543","Epistolary fiction,Orphans"
"543","Bildungsromans,Women college students"
"543","Letters"
"543","Boarding schools"
"543","Women authors"
"543","Young women"
"543","Love stories"
"544","Married women"
"544","Landlord and tenant"
"544","Alcoholics"
"544","England"
"544","Social life and customs"
"544","19th century"
"544","Domestic fiction"
"545","English language"
"545","Terms and phrases"
"547","Government, Resistance to"
"547","Civil disobedience"
"548","Political fiction,Kings and rulers"
"548","British"
"548","Afghanistan"
"548","Afghanistan"
"548","Fiction"
"549","Christianity"
"549","Essence, genius, nature"
"549","Apologetics"
"549","Chesterton, G. K. (Gilbert Keith), 1874-1936"
"550","Scotland"
"550","Kings and rulers"
"550","Drama"
"550","Tragedies"
"550","Macbeth, King of Scotland, active 11th century"
"550","Regicides"
"551","Johnson, Samuel, 1709-1784"
"551","Critics"
"551","Great Britain"
"551","Biography"
"551","Lexicographers"
"551","Authors, English"
"551","18th century"
"555","Sonnets, English"
"555","Love poetry, English"
"556","Philosophy, German"
"557","Athens (Greece)"
"557","Drama,Courtship"
"557","Drama,Fairy plays,Comedies"
"559","Caesar, Julius"
"559","Assassination"
"559","Drama"
"559","Tragedies"
"559","Conspiracies"
"559","Rome"
"559","History"
"559","Civil War, 43-31 B.C."
"559","Brutus, Marcus Junius, 85 B.C.?-42 B.C."
"559","Assassins"
"560","Fairy tales,Fairy tales"
"560","Germany"
"561","Private secretaries"
"561","France"
"561","Biography"
"561","Napoleon I, Emperor of the French, 1769-1821"
"561","Contemporaries"
"561","Bourrienne, Louis Antoine Fauvelet de, 1769-1834"
"561","Relations with private secretaries"
"562","Sea-power"
"562","Naval history, Modern"
"563","Horror tales"
"566","Folly"
"566","Early works to 1800"
"567","Conduct of life"
"567","Juvenile poetry"
"567","Children's poetry, English"
"568","Cookbooks"
"568","Cooking, Roman"
"568","Early works to 1800"
"569","Ghost stories,Short stories"
"570","Cooking, English"
"570","Home economics"
"571","Economic history"
"571","1918-1945"
"571","Treaty of Versailles (1919)"
"571","World War, 1914-1918"
"571","Economic aspects"
"572","Pirates"
"572","Early works to 1800"
"574","Fantasy,Animals"
"574","Juvenile fiction"
"575","Renaissance,Manners and customs,Clothing and dress,Middle Ages"
"576","Rome"
"576","Politics and government"
"576","265-30 B.C."
"576","Happiness"
"576","Early works to 1800"
"576","Theology"
"576","Gods, Roman"
"576","State, The"
"576","Political science"
"577","Operas"
"577","Librettos"
"578","Arthurian romances,Gawain (Legendary character)"
"578","Romances"
"579","Tales"
"579","Arab countries,Fairy tales"
"581","Christian poetry"
"581","Historical poetry"
"581","Great Britain"
"581","History"
"581","Alfred, 871-899"
"581","Poetry"
"581","Epic poetry"
"581","Alfred, King of England, 849-899"
"581","White Horse, Vale of (England)"
"582","Phaedra (Greek mythology)"
"582","Drama,Tragedies"
"584","Conflict of generations"
"584","England"
"584","Water mills"
"584","Young women"
"584","Vendetta"
"584","Brothers and sisters"
"584","Loss (Psychology)"
"584","Domestic fiction,Psychological fiction,Love stories"
"585","Psychological fiction,Indonesia"
"585","British"
"585","Indonesia"
"585","Atonement"
"585","Merchant marine"
"585","Officers"
"585","Cowardice"
"585","Fiction"
"586","Manners and customs"
"586","Short stories"
"587","Drawing"
"587","Technique"
"587","Early works to 1800"
"587","Painting"
"587","Leonardo, da Vinci, 1452-1519"
"588","Ghost stories"
"588","Scrooge, Ebenezer (Fictitious character)"
"588","Fiction"
"588","Poor families"
"588","Christmas stories"
"588","London (England)"
"588","Misers"
"588","Sick children"
"589","Shropshire (England)"
"589","Poetry"
"590","Essays,Philosophy,Belief and doubt"
"591","Epistolary fiction,Essays,England"
"591","Social life and customs"
"591","18th century"
"591","Fiction"
"593","Tragedies,Oedipus (Greek mythological figure)"
"593","Drama"
"595","Education"
"595","Early works to 1800"
"596","Mythology, Norse"
"597","Religion,Mythology,Magic,Superstition"
"599","Romeo (Fictitious character)"
"599","Drama,Verona (Italy)"
"599","Drama,Conflict of generations"
"599","Drama,Juliet (Fictitious character)"
"599","Drama,Vendetta"
"599","Drama,Youth"
"599","Drama"
"600","Speeches, addresses, etc., American"
"601","Humorous stories, English"
"601","Short stories"
"602","Fairy tales"
"602","Denmark"
"603","Gentry"
"603","England"
"603","Sisters"
"603","Social classes"
"603","England"
"603","Social life and customs"
"603","19th century"
"603","Mate selection"
"603","Regency fiction,Inheritance and succession"
"603","Domestic fiction,Young women"
"603","Love stories"
"604","Fairy tales"
"604","Denmark"
"604","Short stories"
"604","Children's stories, Danish"
"604","Translations into English"
